:IngredientName,IngredientType,Unit,Recipe
:Names,,Bench,62
Carrier_status,Message,REF_SHEET_WEIGHTMODE,
Carrier_create_date,Message,REF_SHEET_CREATEDATE,4/10/2014
Carrier_create_time,Message,REF_SHEET_CREATETIME,7:40:27 AM
Carrier_campaign,Analog,REF_SHEET_CAMPAIGN,337
Carrier_run_no,Analog,REF_SHEET_RUNNO,89
Carrier_op_preweight,Analog,REF_SHEET_OP_PREWEIGHT,0
Carrier_op_loading,Analog,REF_SHEET_OP_LOADING,0
Carrier_op_coating,Analog,REF_SHEET_OP_COATING,0
Carrier_op_postweight,Analog,REF_SHEET_OP_POSTWEIGHT,0
Carrier_op_ssp,Analog,REF_SHEET_OP_SSP,0
Carrier_bench_no_pre,Analog,REF_SHEET_BENCH_NO_PRE,2
Carrier_bench_no_post,Analog,REF_SHEET_BENCH_NO_POST,2
Carrier_feed_no,Analog,REF_SHEET_FEED_NO,2
Carrier_gun_rec,Message,REF_SHEET_GUNRECIPE,
Carrier_ref_sheet,Message,REF_SHEET_NAME,6-2300M24G03 1
Carrier_part_descr,Message,REF_SHEET_PART_DESCRIPTION,GENX STG1 NOZZLE
Carrier_osci_type,Analog,REF_SHEET_MOVEMENT_OSC_MODE,1
Carrier_rake_type,Message,REF_SHEET_RAKE_TYPE,2X2
Carrier_part_quanti,Analog,REF_SHEET_PART_QUANTITY,0
Carrier_weight_g_setp,Analog,REF_SHEET_WEIGHT_SETPOINT,1.1
Carrier_weight_g_min,Analog,REF_SHEET_WEIGHT_MIN,1.1
Carrier_weight_g_max,Analog,REF_SHEET_WEIGHT_MAX,1.1
Carrier_serial_1,Message,REF_SHEET_SERIALNO_01,JMN0RF8M
Carrier_serial_2,Message,REF_SHEET_SERIALNO_02,JMN0RFKP
Carrier_serial_3,Message,REF_SHEET_SERIALNO_03,JMN0RFKR
Carrier_serial_4,Message,REF_SHEET_SERIALNO_04,JMN0RG5R
Carrier_serial_5,Message,REF_SHEET_SERIALNO_05,
Carrier_serial_6,Message,REF_SHEET_SERIALNO_06,
Carrier_serial_7,Message,REF_SHEET_SERIALNO_07,
Carrier_serial_8,Message,REF_SHEET_SERIALNO_08,
Carrier_serial_9,Message,REF_SHEET_SERIALNO_09,
Carrier_serial_10,Message,REF_SHEET_SERIALNO_10,
Carrier_serial_11,Message,REF_SHEET_SERIALNO_11,
Carrier_serial_12,Message,REF_SHEET_SERIALNO_12,
Carrier_serial_13,Message,REF_SHEET_SERIALNO_13,
Carrier_serial_14,Message,REF_SHEET_SERIALNO_14,
Carrier_serial_15,Message,REF_SHEET_SERIALNO_15,
Carrier_serial_16,Message,REF_SHEET_SERIALNO_16,
Carrier_serial_17,Message,REF_SHEET_SERIALNO_17,
Carrier_serial_18,Message,REF_SHEET_SERIALNO_18,
Carrier_serial_19,Message,REF_SHEET_SERIALNO_19,
Carrier_serial_20,Message,REF_SHEET_SERIALNO_20,
Carrier_serial_21,Message,REF_SHEET_SERIALNO_21,
Carrier_serial_22,Message,REF_SHEET_SERIALNO_22,
Carrier_serial_23,Message,REF_SHEET_SERIALNO_23,
Carrier_serial_24,Message,REF_SHEET_SERIALNO_24,
Carrier_serial_25,Message,REF_SHEET_SERIALNO_25,
Carrier_serial_26,Message,REF_SHEET_SERIALNO_26,
Carrier_serial_27,Message,REF_SHEET_SERIALNO_27,
Carrier_serial_28,Message,REF_SHEET_SERIALNO_28,
Carrier_serial_29,Message,REF_SHEET_SERIALNO_29,
Carrier_serial_30,Message,REF_SHEET_SERIALNO_30,
Carrier_serial_31,Message,REF_SHEET_SERIALNO_31,
Carrier_serial_32,Message,REF_SHEET_SERIALNO_32,
Carrier_serial_33,Message,REF_SHEET_SERIALNO_33,
